Name	19: Id:1 Pos (without oversampling) (kp:10 Tn:0) 1
Record-Number	19
Axis-ID	1
Min Frequency [Hz]	1
Max Frequency [Hz]	247.5
Frequency Steps	100
Mode	Position (without oversampling)
Position Monitoring Window [mm]	50
Position Amplitude Scaling Mode	1/ f
Position Base Amplitude [mm]	0
Position Signal Amplitude [mm]	1
Integral Time [s]	0
Proportional Gain	10
Check Drive Limitations	True
Dead Time [s]	0.008
Cycle Time [ms]	2
Oversampling	x1
Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase
0.9765625	-11.82559276648805	-114.73311424635754	9.1982836556471668	-118.30786749943762	1.0162731307889379	-20.073800640869234
1.953125	-40.646665750616478	-71.400777163305648	-20.57021800190067	-71.257526057899668	-20.859789047752489	-66.337080519180688
2.9296875	-46.773556056016254	-50.072827378526007	-26.725917119151571	-49.846004459855735	-26.985445698556095	-47.88622648821152
3.90625	-56.844633551698905	-36.262784373507657	-36.828288804825959	-36.142314528204807	-36.929070071403743	-35.661061151094692
4.8828125	-59.768340606004088	-8.8330586707477483	-39.762393892791074	-8.694386953261624	-39.850200895051465	-8.606269674158618
5.859375	-59.740605790119886	-4.9567424710953247	-39.734557595839028	-4.7880992516054883	-39.823347185110613	-4.7392913397112775
6.8359375	-60.218259490390516	4.2979495114747888	-40.215507962480814	4.4881623141626976	-40.299572857857775	4.444846576256003
7.8125	-60.354451027395541	11.273216372180919	-40.354525145751062	11.487832856506778	-40.4358733180498	11.379307558542848
8.7890625	-60.224703209322755	11.949045067711772	-40.224324592335194	12.193697462147481	-40.306685818810131	12.07687722414374
9.765625	-60.281276654635533	18.434922486651413	-40.284487107862077	18.703602204701994	-40.363786368242323	18.527406315330126
10.7421875	-60.047693384327061	20.762206615955684	-40.052064517611079	21.064716164321364	-40.132317704865194	20.861895330629814
11.71875	-59.923409453621645	23.883782795160844	-39.929761544693093	24.216621356449469	-40.009328169521872	23.981852768347505
12.6953125	-59.807744104522513	26.56636640837225	-39.815943036220851	26.929687981625676	-39.894774985433159	26.667033633267206
13.671875	-59.581153674698207	29.096372055730548	-39.591398751743263	29.495573269860039	-39.670395901669856	29.20256205565024
14.6484375	-59.326840283731968	31.918061331445461	-39.339771049342183	32.355127769534214	-39.418723158322763	32.027276510757027
15.625	-59.069238675508942	32.65836025325639	-39.082584405340057	33.138100591475457	-39.163202105289848	32.793209816148149
16.6015625	-58.827132035935605	34.128903568946342	-38.841781025012764	34.651099875844587	-38.92322459968797	34.282331068055086
17.578125	-58.474035932435953	36.221089437299696	-38.491208548268972	36.793453283907255	-38.573785071172153	36.389050090982309
