"Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase"
"0.9765625	-47.751420454831354	-91.03895723065159	18.620434347207116	-93.084492671601069	-0.0048824120638746287	-6.7177315097698234"
"1.953125	-57.016693084229289	-98.494463934125264	8.2120019802189166	-101.72157938757221	0.030144899089932883	-22.440800694950674"
"2.9296875	-61.208777414903359	-92.9848851310681	3.8921681050588357	-94.894706971001639	-1.1364185699891654	-33.948644437866953"
"3.90625	-64.28396838286298	-89.97168740009117	0.69714514113324055	-91.347206314210268	-2.5727102804710116	-43.3221456270151"
"4.8828125	-66.05574782431502	-88.4627205466414	-1.0403123875233837	-89.805572171955916	-3.5761392919822277	-48.31421246901855"
"5.859375	-67.519755083477207	-85.812148859196441	-2.4759377955645663	-86.8756439469242	-4.6440227665749942	-51.072941663643441"
"6.8359375	-68.474324291754016	-85.589803232716974	-3.3507335264129443	-86.960659627484787	-5.2101329204416018	-53.721975479099974"
"7.8125	-69.388186087825062	-84.896398621917655	-4.2131825480463148	-86.466533471348626	-5.8415893847597484	-55.83991222455461"
"8.7890625	-70.095259662448385	-85.362475686762309	-4.8580316490255564	-87.451107801697162	-6.2491900838708929	-58.33827299716895"
"9.765625	-70.801202236506839	-85.022591956588769	-5.5235954649922	-87.428919459026687	-6.7549601414505966	-60.106191826844217"
"10.7421875	-71.418978487961866	-85.9834440835335	-6.1137163130456242	-89.057746769799252	-7.1207506721386951	-62.924689400180377"
"11.71875	-71.996427896517972	-85.87503594327238	-6.6643600325909622	-89.350919040861314	-7.5495376117436939	-64.562321830318126"
"12.6953125	-72.511494217690085	-86.4480563392664	-7.1628803198924729	-90.518333353531673	-7.8973141320362252	-66.763425138579777"
"13.671875	-73.018389130677463	-86.732429950951655	-7.6644410400251441	-91.308870528044039	-8.2801606021013114	-68.642117626956036"
"14.6484375	-73.454152846702755	-87.0802105854731	-8.0924100312351754	-92.2061396534092	-8.6032664250103874	-70.421416685061828"
"15.625	-73.89807854645133	-87.423023073707171	-8.54436254916734	-93.06870481929765	-8.9574345514723781	-72.211192073360166"
"16.6015625	-74.295671914441542	-87.870984060686339	-8.9526871121232787	-94.07533848328768	-9.2730866230368019	-74.017893226002059"
"18.5546875	-75.047779563219251	-88.560001405386728	-9.744716659169347	-95.78493660985194	-9.9167398168919423	-77.264214375840623"
"20.5078125	-75.730462297514	-89.21098537544627	-10.487226552979896	-97.3959673737631	-10.540813760012515	-80.2584188861396"
"21.484375	-76.033274527497525	-89.540444996236644	-10.823206988798288	-98.203008012591752	-10.826043978789651	-81.668199484961363"
"23.4375	-76.594076931845862	-90.200493737346847	-11.461833002352332	-99.77854914753965	-11.376936391238479	-84.355238616679628"
"25.390625	-77.10702600352721	-90.86537876410722	-12.067479379106651	-101.29223132595229	-11.910556321808123	-86.881245116237054"
"27.34375	-77.587993480852589	-91.5501010539496	-12.656152881224047	-102.7391500379739	-12.440368072366731	-89.271668968604772"
"30.2734375	-78.1670922114058	-92.474922372670662	-13.399829082142503	-104.75850678473684	-13.116210838308657	-92.424572583245677"
"32.2265625	-78.529858056786125	-93.295227604762957	-13.894058778856724	-106.21041422543506	-13.569655431554423	-94.595944413436641"
"35.15625	-78.991993337723585	-94.4485199915927	-14.559576647604278	-108.18577618391176	-14.189065899794784	-97.496760082222053"
