"Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase"
"0.9765625	-46.08094533134603	-90.330166556316627	14.929850132908582	-91.67056564854785	-0.093171422533048748	-10.211475567083147"
"1.953125	-55.126711698552164	-99.024155650859512	5.1369033520483587	-101.47331206189277	-0.35910151899577825	-31.366828861575222"
"2.9296875	-58.40624294390458	-94.00922771306459	1.9205683794798021	-95.759521749601547	-1.7076376457999674	-40.936862193977333"
"3.90625	-61.591502020046356	-87.615200747096125	-1.3688961360749281	-88.3390885512962	-3.8710443544442388	-48.537893244102115"
"4.8828125	-62.705245572932249	-85.974116298041565	-2.3379266052836907	-86.6837187558917	-4.5705935500964543	-50.537270661450293"
"5.859375	-63.951153723814606	-82.777440125270985	-3.51870896424614	-83.139193044031529	-5.5710167837432394	-51.619538819006358"
"6.8359375	-64.597594441193479	-83.026281378373355	-4.0278420559744372	-83.7511932908623	-5.8817849024447524	-53.417419679330621"
"7.8125	-65.758588107127565	-83.05705270047855	-5.1955023008249146	-84.074606206107944	-6.7056096818557336	-56.712425572686669"
"8.7890625	-66.588316291511475	-85.37626855724244	-6.003033875866663	-87.218393482882846	-7.1412665648529021	-61.180867462269468"
"9.765625	-67.236998097801091	-84.736159194776917	-6.6014510198513188	-86.804457824857025	-7.6423633945743807	-62.335755548591585"
"10.7421875	-67.871783021424264	-85.083073873320245	-7.20958122984228	-87.593663813717342	-8.0971099697511573	-64.431560241687492"
"11.71875	-68.470777345110008	-86.161393331587078	-7.7998170928225612	-89.283372050884026	-8.5044673405747684	-67.221057547346149"
"12.6953125	-68.95126406058165	-86.8899892372213	-8.259558060094486	-90.586171494807417	-8.8338941980060479	-69.384911018812815"
"13.671875	-69.538749585255971	-87.499462035875354	-8.865089725830396	-91.668499000613181	-9.3139323485320062	-71.665256228536663"
"14.6484375	-70.044569634605409	-88.412961880513237	-9.3887973231182826	-93.141358909566108	-9.7146905868799145	-74.097218165613469"
"15.625	-70.501969584800221	-88.815653751938257	-9.8581475836315064	-93.994056844198639	-10.10523030605829	-75.8346998613626"
"16.6015625	-70.937046699144872	-89.042107887772971	-10.307735077170282	-94.621842704570255	-10.494618324179854	-77.299215084079336"
"18.5546875	-71.724344130638755	-90.2313119407329	-11.14802363364263	-96.754856229351248	-11.198072621511539	-80.8779402603899"
"20.5078125	-72.479771759109042	-91.089665881004663	-11.975465306815046	-98.391946287438174	-11.931496394593648	-83.886813445984046"
"21.484375	-72.792338759688548	-91.497549773547263	-12.3207675094041	-99.203577839180255	-12.238188228761274	-85.243381553202312"
"23.4375	-73.415990865800069	-92.2659854026687	-13.025889403789515	-100.68255333816488	-12.880471540108363	-87.794871839817361"
"25.390625	-73.976913150431088	-93.053167233027835	-13.677140045788816	-102.13259550823192	-13.480974433078183	-90.181233543062831"
"27.34375	-74.528004241989478	-93.750258920523	-14.329844528850671	-103.36689472466708	-14.098301267589799	-92.301080526912372"
"30.2734375	-75.1515543543831	-94.651215434810723	-15.095460286956373	-105.09932162612616	-14.823512793946712	-95.008282346899207"
