"Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase"
"0.9765625	-46.639341205579548	-92.86875531061294	17.460904736004711	-95.413433300022291	0.031956504745311441	-7.6919992113736422"
"1.953125	-56.100827758891811	-98.826563516869584	6.954058000489117	-101.73135794264363	-0.081923234525951641	-25.819986859869736"
"2.9296875	-60.152491492798781	-93.086211401995911	2.8210736580753877	-94.818928833353425	-1.4639056472948677	-37.4763244011087"
"3.90625	-63.282518982386286	-89.258046728203141	-0.42262862412855823	-90.353291378668288	-3.1999233039685091	-46.5786288497381"
"4.8828125	-64.661371456466327	-88.181088786295931	-1.6961006886007066	-89.378852274624478	-3.9865828256939366	-50.188736302142452"
"5.859375	-66.05970617750576	-84.748618799473078	-3.0530443348811689	-85.5312772352549	-5.1071191683556405	-51.905910602143024"
"6.8359375	-66.86368799159	-84.5295617812413	-3.7484031339093815	-85.608435495503684	-5.5706062434535086	-53.937471067409618"
"7.8125	-67.81718465747754	-84.1511455385579	-4.6623365138195823	-85.476888985218238	-6.2278437900940276	-56.353580555113979"
"8.7890625	-68.5033275485628	-85.28742878377912	-5.2871509366308818	-87.2609462557977	-6.5840278163518118	-59.352461725560218"
"9.765625	-69.2175948322866	-84.73109520034609	-5.9632726908707046	-86.9511857643093	-7.1255661061371613	-60.869667818866276"
"10.7421875	-69.856572801548992	-85.839776141163668	-6.581639178623222	-88.720422924468977	-7.5180872346087169	-63.840727293017757"
"11.71875	-70.425103324560183	-86.027518864563035	-7.1254020254273911	-89.364251496253928	-7.9302878585518544	-65.705373215102327"
"12.6953125	-70.9359016648115	-86.400021266611773	-7.6169145019715856	-90.25296730800703	-8.2966594075509636	-67.625617086799181"
"13.671875	-71.462139075914564	-86.964280148209184	-8.1465002850391368	-91.354350052989417	-8.6954175001167346	-69.800627146641887"
"14.6484375	-71.885673217567685	-87.501009274170769	-8.5627503058568024	-92.465891145952156	-9.0046962774679038	-71.715757117121058"
"15.625	-72.353487085229659	-87.903021895189156	-9.0453662804258634	-93.355749089210619	-9.3927030635185318	-73.567347965024538"
"16.6015625	-72.782488295244931	-88.476722940739563	-9.4948675555265911	-94.4597656910356	-9.7487888259490436	-75.52317228198919"
"18.5546875	-73.542805068459813	-89.185823864663433	-10.295942341942133	-96.1225628459043	-10.416791449994347	-78.683417406892787"
"20.5078125	-74.243474539520463	-89.93623907334117	-11.059979383594456	-97.773975372431181	-11.071351723267874	-81.6949157421375"
"21.484375	-74.550219297627535	-90.275363538436622	-11.399305757669433	-98.556356038456428	-11.365990898265803	-83.058520635805564"
"23.4375	-75.137752150716139	-91.111640186987515	-12.070901691369107	-100.24800847487614	-11.953917767635804	-85.85946053779935"
"25.390625	-75.676314227236	-91.751949067833465	-12.700777728589273	-101.63597976884934	-12.524491841428038	-88.2441072643584"
"27.34375	-76.1728437088104	-92.492883271887678	-13.302531591098543	-103.06910418802266	-13.07503514460581	-90.5833055193622"
"30.2734375	-76.795698129253054	-93.515508193576224	-14.088714410967459	-105.0497598738651	-13.803521242113494	-93.682868302365918"
"32.2265625	-77.158754131732138	-94.238092225750734	-14.570157108142434	-106.33975070519642	-14.253954586280749	-95.623201066471509"
"35.15625	-77.6520396530118	-95.44780808982766	-15.257088648589917	-108.26256259392393	-14.902527504506558	-98.4295898537994"
"38.0859375	-78.085176321836158	-96.679854964589907	-15.893490809377189	-110.03068912686584	-15.511641155647277	-100.96806281502151"
"41.9921875	-78.532820120605763	-98.632347235051753	-16.628706802346858	-112.51451710643721	-16.213542616490329	-104.30148426388972"
