"Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase"
"0.9765625	-49.089815209613135	-85.872017995923215	18.985299335548792	-85.686536680349874	-0.12642640239718733	-6.3414928304863709"
"1.953125	-57.866713306441554	-98.087192781888	9.1390527799307613	-101.53070762408271	0.077431009101605081	-20.193685241812723"
"2.9296875	-61.999052439029015	-93.107951588096569	4.8756641134449907	-95.2534180178738	-0.86697963253317978	-30.936691884974916"
"3.90625	-65.033008823337312	-90.316401844710668	1.7167970460296877	-91.925832613766758	-2.0906324831452312	-40.146021342564545"
"4.8828125	-67.029247012266026	-88.546066730939131	-0.29318795149122051	-90.01800370117131	-3.1580034726171795	-45.9761175518148"
"5.859375	-68.518344166683747	-86.584617050214263	-1.7597779210989288	-87.915133203728359	-4.130831262934084	-49.517651292711037"
"6.8359375	-69.63815441067851	-86.097421587211457	-2.8334649179378535	-87.671622425662974	-4.8184290027637209	-52.659745156217461"
"7.8125	-70.5876883988017	-85.379920118986547	-3.7376956106685655	-87.156003292969359	-5.46204542968698	-54.977918205262341"
"8.7890625	-71.360979039084668	-85.590785610728659	-4.4615535768795169	-87.833065648591457	-5.9327911089449445	-57.520355874859163"
"9.765625	-72.065131402535243	-85.315253343417083	-5.1238604211007459	-87.909932505973188	-6.42002895394148	-59.406591962846754"
"10.7421875	-72.683851119590656	-85.872948352159369	-5.7104929945358194	-89.060812827117417	-6.8011831067290993	-61.869405552606068"
"11.71875	-73.262256195615038	-85.823196726258487	-6.2617952781491679	-89.44741603417539	-7.2165376352891553	-63.619783749093919"
"12.6953125	-73.792472089723915	-86.379031408981916	-6.7787444142978517	-90.612275678316408	-7.5711425332936422	-65.8892095723683"
"13.671875	-74.2873831077117	-86.5559584568359	-7.2632602574276008	-91.297509239642821	-7.9383032403905274	-67.666668409176737"
"14.6484375	-74.7455786163429	-86.898186620741015	-7.71930435312901	-92.196489973850021	-8.2790196571682255	-69.5379356120345"
"15.625	-75.176749470995773	-87.148585128576769	-8.1536083080984572	-92.975462827360545	-8.6161242527542026	-71.238492487360787"
