"Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase"
"0.9765625	-49.854122048594348	-86.06684880660687	19.820427038374685	-85.9032076283538	-0.10727654581353664	-5.7724644376133094"
"1.953125	-58.667053709860944	-97.671565043092826	9.8349354707910184	-101.25224405254033	0.096185300479538355	-18.6399056025508"
"2.9296875	-62.73430835730754	-93.15506924504264	5.6394749070542014	-95.491879674884942	-0.69273283953120446	-28.696252079439478"
"3.90625	-65.701059598730311	-90.496783152834979	2.5534303240019511	-92.300433527414711	-1.7482532564341822	-37.51200372335709"
"4.8828125	-67.7927231543116	-88.617894022473621	0.42279635575305946	-90.224008057530369	-2.7870522036944285	-43.712624826452611"
"5.859375	-69.318608572277384	-87.071957115397822	-1.0899952450648263	-88.626461619233069	-3.6914831397865333	-47.814135887362632"
"6.8359375	-70.543970212142113	-86.376855658293067	-2.2925385796854583	-88.1195092207762	-4.4416686900629108	-51.295942553466681"
"7.8125	-71.5382421305949	-85.690168841202109	-3.2509597840126645	-87.646873241803576	-5.0965259600679591	-53.89084634219423"
"8.7890625	-72.3735148701628	-85.749941665388278	-4.0502287204624912	-88.14097676996316	-5.6164176512241726	-56.570918856307074"
"9.765625	-73.095701719985556	-85.493041893837329	-4.733993422656873	-88.2535230284144	-6.1060949016648047	-58.592169088539023"
"10.7421875	-73.7357942960086	-85.863277218169245	-5.3449918612854344	-89.18312626421779	-6.5093728255642214	-60.980385086959309"
"11.71875	-74.32372044420778	-85.826909172740912	-5.9076669162958417	-89.601058588707332	-6.9239009542098824	-62.818657171524485"
"12.6953125	-74.865202193213278	-86.271172091464692	-6.4371502450741191	-90.641326490270487	-7.2881520311554784	-65.041626783714875"
"13.671875	-75.365623347017319	-86.379729331371252	-6.9272478024335991	-91.255447251559858	-7.6576772976080161	-66.798398015252332"
"14.6484375	-75.823221937767812	-86.701843753188669	-7.38202366022895	-92.151179645584236	-7.9913958311104736	-68.684174992501369"
"15.625	-76.262904989447989	-86.914217131024273	-7.8265346050069979	-92.894990675250355	-8.3339014792232327	-70.399872496635908"
