"Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase"
"0.9765625	-51.439927118763592	-83.878774609823438	20.707358341502619	-82.45649393401645	-0.13973885703848279	-5.1591699267892812"
"1.953125	-60.06008458177245	-96.912932072166427	10.8818288813403	-100.65612756957884	0.105660603190761	-16.511528674866774"
"2.9296875	-64.048598432665386	-93.071118811894834	6.7660235924952508	-95.6762842907709	-0.49139273207465611	-25.563651370767861"
"3.90625	-66.900087638866211	-90.7456505192753	3.8112609008872651	-92.881413382921252	-1.3064289238052382	-33.646810245977591"
"4.8828125	-69.012433417044946	-88.930285054125449	1.6477186785056144	-90.852871805170878	-2.2001527099869227	-39.9436891865176"
"5.859375	-70.609271762414409	-87.634763173383817	0.0436388224895435	-89.556776349024645	-3.0220010965961746	-44.635567878235477"
"6.8359375	-71.931604802584985	-86.768208276110613	-1.2805702267410892	-88.830067591211616	-3.7844580606643579	-48.53863610225752"
"7.8125	-72.997995804839647	-86.2248599883316	-2.329587439540965	-88.550292706088072	-4.4342207777815936	-51.6805258353179"
"8.7890625	-73.905137190091821	-85.996754832809643	-3.2166643917373445	-88.695731589654713	-5.0013439948188108	-54.493980974009418"
"9.765625	-74.687886108162488	-85.805211976111991	-3.9766619028129164	-88.906440977213734	-5.51298391227014	-56.90133024362386"
"10.7421875	-75.3781214011271	-85.905730895707876	-4.648077354610674	-89.511564752587518	-5.960745816094283	-59.2837747662585"
"11.71875	-75.996393675950188	-85.8736794448161	-5.2487405276767216	-89.95617469557078	-6.3863724592910618	-61.311161541920008"
"12.6953125	-76.5600972440719	-86.139450637772512	-5.80404245963683	-90.7959808491013	-6.76806474776658	-63.490949871476836"
"13.671875	-77.071894541704864	-86.222700769588428	-6.3079988352083323	-91.406996126180559	-7.1367010497824932	-65.330163768496192"
"14.6484375	-77.55302597232307	-86.4744613398725	-6.7921112131933681	-92.23341397569115	-7.4875014506519841	-67.273571709942885"
"15.625	-77.992443199902411	-86.651562490531788	-7.23600282452	-92.969064380079516	-7.8200346016680324	-69.021769445128314"
"16.6015625	-78.405525009173743	-86.914874406192666	-7.6616739658171742	-93.811414876728747	-8.1394868839845778	-70.800994661535341"
"18.5546875	-79.156117357649023	-87.311079351216236	-8.4495241555495859	-95.310583077660226	-8.7552327469437223	-74.002191979370934"
"20.5078125	-79.8198092263623	-87.759585000833809	-9.1699809839091468	-96.846393754101641	-9.3324003434374578	-77.026992651877364"
"21.484375	-80.116458069690282	-87.972892597244083	-9.4990264745224238	-97.595288998876725	-9.600622138126111	-78.435583973636"
"23.4375	-80.663031583208564	-88.422357405161762	-10.123554923985644	-99.085004495293532	-10.118084269488381	-81.143594291945959"
"25.390625	-81.15576347385381	-88.922199560329489	-10.711588967640523	-100.5773120557978	-10.614639917279991	-83.742242146302317"
"27.34375	-81.6029879483259	-89.45439309337587	-11.269543126767035	-102.03656705565341	-11.095410386125234	-86.215694014988884"
"30.2734375	-82.149753765670567	-90.229384476610008	-11.99442497987417	-104.14204704960478	-11.727337778925605	-89.58502942222367"
"32.2265625	-82.471660866585935	-90.8330648164399	-12.453011700409405	-105.54436265423379	-12.133440869935111	-91.757454984277445"
"35.15625	-82.885711137605924	-91.863970259749	-13.093202967383803	-107.6452019498891	-12.706379630996478	-94.896554824434531"
"38.0859375	-83.23033398822713	-93.012756919446559	-13.684715756164065	-109.67757038543675	-13.243851444550984	-97.850250206322187"
"41.9921875	-83.583472228903588	-94.8383394460997	-14.396278419637291	-112.39578550166239	-13.895443908028291	-101.63489160862966"
"44.921875	-83.785907533002558	-96.490917224708838	-14.887431481722784	-114.46156451159831	-14.348322769967186	-104.41331142617103"
"48.828125	-83.995579974350392	-99.037375369059987	-15.496274160457496	-117.15889885712916	-14.915763801720807	-107.96574391011592"
"52.734375	-84.148573756507446	-102.0031783044156	-16.052065808850781	-119.79929741440864	-15.438434715122572	-111.36251463886624"
"57.6171875	-84.285887184268518	-106.41206558927976	-16.678142806002924	-123.10464920682568	-16.030018165289579	-115.5018732206687"
"62.5	-84.403019556920214	-111.56913019389134	-17.233805125371962	-126.39525029618588	-16.557184740900432	-119.52345518419538"
"67.3828125	-84.552852933932769	-117.59917219525488	-17.738857305096012	-129.8398232414149	-17.036128438284827	-123.63921755297282"
"73.2421875	-84.826369773910272	-125.43510125274388	-18.272448777352437	-133.97005905027709	-17.543448264871429	-128.49024714737777"
"79.1015625	-85.2112870104368	-133.62354001098336	-18.717379620535258	-138.27541745001184	-17.962303321222535	-133.44813746250023"
"85.9375	-85.848591893351511	-142.92394022020974	-19.17683883471561	-143.53690455616905	-18.395002294013128	-139.43720078838271"
"93.75	-86.751357324382468	-152.37642732932531	-19.653063331869284	-149.86201450319524	-18.848129795945518	-146.57553542924782"
"101.5625	-87.695371407430855	-160.43984259459106	-20.094522559528979	-156.67920226093779	-19.275413194697311	-154.21288801297288"
"110.3515625	-88.644309115179311	-167.57522540689484	-20.565432138474463	-164.356358628164	-19.747443306519536	-162.76557132021247"
"119.140625	-89.355534336856	-174.20513474722392	-20.991639684850384	-172.75510486509631	-20.187447326925565	-172.04795277430549"
"129.8828125	-89.911633691972241	-182.41026682103592	-21.519987044181089	-183.57550689519192	-20.760098393012839	-183.90288765145763"
"140.625	-90.172963007547139	-191.80729550758156	-22.062053444752539	-194.66833326578541	-21.374731039414208	-195.90691189805247"
"152.34375	-90.309658554502221	-204.96302276853413	-22.658724551907863	-207.28417582488041	-22.076533623371514	-209.35259614884905"
"165.0390625	-90.648037907491641	-222.33836359583367	-23.279326230324116	-221.18840798371755	-22.829075486723195	-223.9136994599703"
"178.7109375	-91.818208844267176	-243.91299123989825	-24.123945015747353	-238.48224760911552	-23.849840169479467	-241.61936622277403"
"194.3359375	-94.120068615104771	-267.20357614864724	-25.633234551485423	-261.33664235889552	-25.576333062935454	-264.31871673414435"
"210.9375	-97.504784047085934	-288.09810973676724	-28.679518985151113	-285.93171664831249	-28.772183788222531	-287.93892287599874"
"228.515625	-102.48645744108192	-305.52630317277072	-33.885547731759672	-305.6221204470296	-33.988374720467206	-306.55268663516506"
"247.0703125	-116.59911599495878	-272.182736517684	-48.171350722474855	-272.18163821200989	-48.172707309259252	-272.40508466389127"
