"Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase"
"0.9765625	-48.058609006750835	-84.063166102502478	8.3958115393802686	-83.922190789396439	-0.88217760073617657	-19.980841836162256"
"1.953125	-54.196166410448541	-98.082515505691319	2.1725657984730935	-99.7970539003414	-1.2754913250724771	-41.494452557251314"
"2.9296875	-55.526806605931256	-94.4316694559535	1.1650593055545813	-96.123740474198371	-1.9814395831653628	-43.7992231047638"
"3.90625	-58.561653517192418	-84.486372308459522	-1.9376726971693197	-84.683770899992709	-4.4621516298770718	-48.121938605014314"
"4.8828125	-59.527374578266759	-77.758185865530891	-2.7490698100185345	-76.976418086532149	-5.4428554375059077	-45.601039908383633"
"5.859375	-61.03317220597944	-79.566930084180285	-4.236452277708401	-79.329787219695135	-6.2895453145544149	-50.880959791272652"
"6.8359375	-61.909516356911816	-85.227406086045193	-5.0359542107173008	-86.303049698189255	-6.4530840839661519	-57.961674065850325"
"7.8125	-63.0194494287551	-82.458422369394938	-6.13514342361849	-83.26461983455853	-7.4681049845775007	-58.409400916246788"
"8.7890625	-64.03110025347172	-81.6668753182368	-7.1489599277335056	-82.580281258767016	-8.3090689582160984	-60.186283090016339"
"9.765625	-64.619576986954584	-84.35744051743707	-7.6934688652304315	-86.113579504418553	-8.5783202328429677	-64.298807732968172"
"10.7421875	-65.11138498126455	-86.79146936014709	-8.1476566436820335	-89.400555637391392	-8.7974039433688738	-68.105753161739628"
"11.71875	-65.899173445540058	-86.8147271634968	-8.9580468186423463	-89.68482670406253	-9.492814823589006	-70.097841411597585"
"12.6953125	-66.652390122206157	-87.840163251948482	-9.7502602978781052	-91.147428820826917	-10.136003452798034	-73.0127056325172"
"13.671875	-67.119710795252686	-88.684745517827054	-10.213120572028656	-92.495092002317733	-10.500237117324874	-75.1427422151978"
"14.6484375	-67.558429933982168	-88.987143476281588	-10.64721352666384	-93.196649847706837	-10.873226350510938	-76.60569900607787"
"15.625	-68.111254773961861	-89.901500238730037	-11.235800763478911	-94.536631954976968	-11.371942317245828	-78.921253582272371"
"16.6015625	-68.623543732000357	-90.70663496933571	-11.784089280420025	-95.73672869531012	-11.84802870273705	-81.002131711415657"
"18.5546875	-69.485000674166173	-91.261549816959089	-12.694058702016598	-96.9146899349088	-12.685101510770068	-83.591191150152866"
"20.5078125	-70.280498909775815	-92.587535346547782	-13.565663301984483	-98.933998955501821	-13.472819949969033	-86.844511805616136"
"21.484375	-70.6444538431682	-92.993237210736837	-13.965356901064297	-99.628241560843591	-13.84701823401176	-88.0789418873487"
"23.4375	-71.331156020853129	-93.276381610994463	-14.7187669663011	-100.36597071557905	-14.575893601431991	-89.781870453194813"
"25.390625	-71.939933054922264	-94.1432625222713	-15.409689105456623	-101.74465879603741	-15.231123060293346	-91.983970965855747"
"27.34375	-72.555596486887865	-94.593034195347542	-16.110182620964835	-102.54154432652369	-15.91715097172658	-93.555708602430784"
"30.2734375	-73.2373703010672	-95.417355108287992	-16.910466583216582	-103.98361604191345	-16.694073150589826	-95.821099372994041"
"32.2265625	-73.709394517264712	-95.83201619085763	-17.469169158914838	-104.66806843896121	-17.247021378976378	-97.035566528606935"
"35.15625	-74.270129882484014	-96.763182317025354	-18.164237863827744	-106.03971610785936	-17.927713479034544	-99.032016507234928"
"38.0859375	-74.756704645108812	-97.594297377400565	-18.786467515345706	-107.20706926189752	-18.541645243820227	-100.71949823076291"
"41.9921875	-75.313712744733451	-98.927185818496184	-19.533969169894522	-108.83849352076146	-19.279053049493793	-102.9361013758909"
"44.921875	-75.645947950755669	-100.10060748686686	-20.013523776062989	-110.14603138449407	-19.750311881229763	-104.60147991123881"
"48.828125	-76.027925553733439	-101.83210546765301	-20.594098352020115	-111.87709894611874	-20.321332109517549	-106.74638641304963"
"52.734375	-76.30061283589518	-103.86198792583451	-21.066858703549535	-113.75287250101846	-20.782282531606864	-108.95470314552759"
"57.6171875	-76.584996240453108	-106.8569522441896	-21.595117809330887	-116.23454110180674	-21.295558764015887	-111.80288141062509"
"62.5	-76.758449728142367	-110.47250226399325	-21.999743225956685	-119.04068942967415	-21.680785773112635	-114.90918783788321"
"67.3828125	-76.915376687814856	-114.7276034474053	-22.356753572346328	-122.12803572732165	-22.016879453629986	-118.27841443737132"
"73.2421875	-77.127337327117	-120.76139030710509	-22.744325684276912	-126.34731252402131	-22.376970779317375	-122.83511569181452"
"79.1015625	-77.318912415910077	-127.69678885133236	-23.025668689562153	-131.22195167518382	-22.625395965376857	-128.03490454242532"
"85.9375	-77.698719968720582	-136.06218771306797	-23.365110156514632	-137.21188903816287	-22.931484788886142	-134.43362701171279"
"93.75	-78.288669603512318	-145.42417897108237	-23.753343001285682	-144.47765525213089	-23.288762992523825	-142.19736293271842"
"101.5625	-78.926091928219975	-154.0852384540031	-24.108400331864249	-152.08606059674588	-23.620593017221708	-150.31781682412048"
"110.3515625	-79.570318306000019	-162.29579382483553	-24.454593539216354	-160.37531844028757	-23.952322100113328	-159.15437862384161"
"119.140625	-80.079431573801145	-171.43852855001865	-24.765198850144714	-170.51358785567493	-24.256014351321255	-169.93506222316506"
"129.8828125	-80.644657553258583	-182.52331369483466	-25.306063987291267	-183.27785433570034	-24.822112519122776	-183.4658933113958"
"140.625	-81.106674742639242	-194.71027292098287	-25.957233424205143	-196.47264286454003	-25.528223332321048	-197.33238637513071"
"152.34375	-81.669179154034168	-209.59940721747387	-26.796263151835515	-210.79474114001178	-26.450768158561289	-212.19068076261345"
"165.0390625	-82.585997438386869	-227.03405124532156	-27.825555458995588	-226.03887939752303	-27.581058016240583	-227.762150865922"
"178.7109375	-84.2130025105725	-245.69219232646657	-29.22725643184701	-242.60457429747908	-29.092223803581824	-244.39074280099916"
"194.3359375	-86.6188006392214	-264.95341321295632	-31.233641829969898	-261.8665424890437	-31.203088488962649	-263.42836398887937"
"210.9375	-89.84227617569627	-281.01325757692086	-34.291893643196055	-279.70892390622214	-34.3216689222199	-280.79484908947143"
"228.515625	-93.940308525229369	-289.85948309164206	-38.477993432435433	-289.72513230183097	-38.513395352020282	-290.36516237124033"
