"Frequency	Process-Gain	Process-Phase	Open-Loop-Gain	Open-Loop-Phase	Close-Loop-Gain	Close-Loop-Phase"
"9.765625	-65.195292691797221	-83.784163630703119	-8.37494647466605	-85.312405298144938	-9.194536958607193	-65.082104413360284"
"10.7421875	-65.296527203482341	-87.673887724902158	-8.3768882911319444	-90.391621807517964	-8.94633366346486	-69.475302278776738"
"11.71875	-66.072873332266013	-87.88764519032523	-9.1754862601970029	-90.898172454790753	-9.6287385955868086	-71.629592206647459"
"12.6953125	-66.755645797744364	-88.925942996480728	-9.8845999256047747	-92.392548252691569	-10.20246987725386	-74.413308868886162"
"13.671875	-67.173437845204177	-89.550861801846111	-10.287589503213937	-93.498345819031982	-10.525285938155427	-76.2138956666495"
"14.6484375	-67.584374009074651	-89.8856070910337	-10.690170043178915	-94.251837091923264	-10.868838090113048	-77.672721775902346"
"15.625	-68.175396748277223	-91.086526352026425	-11.329246190633862	-95.899610824448175	-11.406086714575913	-80.3816542457993"
"16.6015625	-68.698172095528676	-91.789392119801775	-11.889246104460849	-96.962052292417837	-11.90247165455852	-82.357161593550856"
"17.578125	-69.0789570721515	-91.8855439626831	-12.279916793221318	-97.381268790994724	-12.265400027859108	-83.399646212705946"
"18.5546875	-69.491070477081692	-92.225096092403788	-12.718268457615974	-98.039507933877587	-12.6693252725757	-84.726322410126656"
"20.5078125	-70.244333317022651	-93.244468863770408	-13.536606452654127	-99.727885322329172	-13.418497797522926	-87.58948582014358"
"21.484375	-70.633658582726184	-93.536541876392747	-13.96398512916412	-100.26575846969388	-13.826012312148722	-88.7109892577866"
"23.4375	-71.291033793302248	-94.1929546161242	-14.692775585998245	-101.45382450653641	-14.5189815994377	-90.83871058282331"
"24.4140625	-71.572607597058266	-94.344501222648219	-15.005014166857533	-101.85365653010263	-14.82126259961265	-91.620501176683277"
"26.3671875	-72.162563660757229	-95.075332038037729	-15.679394523048805	-103.04035795478775	-15.469557196295543	-93.59393715126383"
"28.3203125	-72.67331862971885	-95.161469020120151	-16.259429039466013	-103.4888934594111	-16.045344877452525	-94.66981215806976"
"29.296875	-72.909632570622179	-95.6338887395149	-16.542125497973107	-104.18002083631085	-16.315791598730915	-95.6588980808866"
"32.2265625	-73.564882936084871	-96.534907589399154	-17.32950642242038	-105.60018103464643	-17.085433468715657	-97.857833220742535"
"34.1796875	-73.935690611171552	-96.919253680782461	-17.784195350357578	-106.27901849316714	-17.535302832296541	-98.954643045589862"
"36.1328125	-74.280785282824141	-97.600635614837913	-18.223944170891624	-107.22646320567237	-17.96622487921589	-100.29316932207144"
"38.0859375	-74.602848009773524	-97.977579432856743	-18.634263312349965	-107.79585382186445	-18.375519884451581	-101.20394455107265"
"41.015625	-74.988687374711034	-99.182489122509566	-19.169845517016956	-109.29452979672449	-18.898322465249397	-103.14366843074848"
"43.9453125	-75.365822171090528	-100.18586166372438	-19.693772037816657	-110.41868500484442	-19.417888798042245	-104.66726126398306"
"46.875	-75.649859234997351	-101.63137225837767	-20.134893226367332	-111.93641520679915	-19.848255178406035	-106.51993425979674"
"49.8046875	-75.886400076423982	-103.08983756943118	-20.526434323484267	-113.35538591388236	-20.230993217328521	-108.2264661313135"
"52.734375	-76.0703282603449	-104.46033609349524	-20.8591022510825	-114.59266757109592	-20.5570373539176	-109.70050689851377"
"56.640625	-76.2838789185468	-107.27321806019125	-21.284945262324115	-116.98997149935676	-20.965820092871112	-112.41685303708827"
"60.546875	-76.430815932753148	-109.99780801221186	-21.624398872577068	-119.11448796899734	-21.291290082443549	-114.79625121467232"
"64.453125	-76.561163347978109	-113.46560343665055	-21.937278071488681	-121.7131476468316	-21.585932959439621	-117.6490717654664"
"68.359375	-76.694456929762538	-117.32002846944071	-22.224605119152628	-124.46612321277038	-21.85483642235917	-120.64780246279855"
"73.2421875	-76.869046011679117	-122.63500126460825	-22.53972306575416	-128.15565310945573	-22.146038669182285	-124.63436220961269"
"78.125	-77.059845513748229	-128.20315546011747	-22.800643405564447	-131.96483358138263	-22.383281382456708	-128.72514456535282"
"83.0078125	-77.279698589003374	-134.12014556496132	-23.01749369513082	-136.10925183659279	-22.575135594759807	-133.15484416980766"
"88.8671875	-77.66215407513522	-141.70557387152527	-23.2952479191588	-141.74616408087329	-22.824198079336639	-139.18255923006132"
"94.7265625	-78.13518276318726	-148.919893692173	-23.580223475480118	-147.54191030006137	-23.086959605632138	-145.38617916451119"
"100.5859375	-78.604298066078044	-155.61200644861646	-23.825888161103428	-153.46342359712463	-23.314714785183796	-151.71544011651892"
"107.421875	-79.242096890789583	-162.46981237303274	-24.207131647500315	-160.26064305079075	-23.690372551037996	-158.99525353876226"
"114.2578125	-79.702224377837709	-169.45975802405988	-24.469597046187893	-167.82195581351212	-23.947428614243705	-167.05469292365137"
"122.0703125	-80.18112318195557	-177.38117396213076	-24.831619298908556	-176.90523774732119	-24.3195851443198	-176.71711660004834"
"129.8828125	-80.542649386505985	-185.72443804655384	-25.210681622568714	-186.47894449724419	-24.723767829044991	-186.85425700380009"
"138.671875	-80.938685890942835	-195.59233469888068	-25.759661366490086	-197.21948858157549	-25.322421619059181	-198.13858324951534"
"148.4375	-81.412777230324892	-207.84627783737352	-26.469851781885243	-209.28698471516088	-26.105051203730127	-210.67497074972482"
"158.203125	-82.047182745931039	-221.54889945030754	-27.265003341548631	-221.59222531568238	-26.982728144086817	-223.29478980762019"
"167.96875	-82.926295806824925	-235.11227836320023	-28.125278675388831	-233.31441203717065	-27.923735330555829	-235.16004457980449"
"179.6875	-84.375604000179919	-252.81622193926688	-29.314842639547287	-249.43414503424179	-29.214367244661979	-251.29144049641974"
"191.40625	-86.342958662918491	-268.2308891414288	-30.9652632090747	-265.01101769538695	-30.94732937625335	-266.62971432202482"
"204.1015625	-88.881577889047776	-282.07419288018639	-33.328523682882462	-280.24762524323165	-33.363708526961126	-281.45818388695443"
"217.7734375	-91.9512490788608	-291.24216290560844	-36.422861520870086	-290.71023278659686	-36.469964616151856	-291.51492012959136"
"232.421875	-96.101559664210924	-293.95514056059835	-40.674594309126427	-293.94482930014789	-40.707459461046369	-294.42752219558628"
"247.0703125	-98.486638447278409	-284.78261793107754	-43.119339190612621	-284.79347751878413	-43.13500934903302	-285.179609399076"
